Deposit ID,Date_2025,Depo,Volume_2025,Date_2024_Original,Volume_2024_Original
36,2025-01-01,Alliance Health Woodward,109.73970036412697,2024-01-01,114.12
34,2025-01-01,Carter County Health Department,85.4137845301028,2024-01-01,87.05
4,2025-01-01,Cleveland County Moore,164.45981825434214,2024-01-01,150.0
4,2025-01-01,Cleveland County Moore,168.48528437324805,2024-01-01,150.0
23,2025-01-01,Flint Hills- Riley County Health Department,153.73620356542088,2024-01-01,150.0
3,2025-01-01,Integris Baptist,153.19172055618455,2024-01-01,143.14
10,2025-01-01,OBI,145.472813453191,2024-01-01,135.99
21,2025-01-01,Salina Regional,141.06696643774717,2024-01-01,143.77
20,2025-01-01,Southeast KS Health Department,107.11870423491793,2024-01-01,112.27
8,2025-01-01,St. Anthony Shawnee Hospital,163.74217733388136,2024-01-01,150.0
8,2025-01-01,St. Anthony Shawnee Hospital,167.47327922401263,2024-01-01,150.0
5,2025-01-01,Variety Care- Lafayette,171.02142919229746,2024-01-01,150.0
14,2025-01-01,YWCA South,153.91133430197493,2024-01-01,134.54
30,2025-01-02,Beckham County,116.46247559685516,2024-01-02,115.51
7,2025-01-02,Canadian Valley,133.8841208923742,2024-01-02,136.91
27,2025-01-02,Comanche County Memorial Hospital,65.43695324869006,2024-01-02,64.89
6,2025-01-02,Edmond Hope Center,148.87017332034827,2024-01-02,150.0
6,2025-01-02,Edmond Hope Center,151.62726728878613,2024-01-02,150.0
2,2025-01-02,Integris Southwest,148.002135295603,2024-01-02,150.0
22,2025-01-02,Kansas Birth Justice Society,144.3018694282553,2024-01-02,141.02
10,2025-01-02,OBI,125.10275173966254,2024-01-02,116.66
1,2025-01-02,Oklahoma Mothers’ Milk Bank,158.24269294896712,2024-01-02,150.0
18,2025-01-02,Shawnee Mission MC,138.21283753722253,2024-01-02,133.36
20,2025-01-02,Southeast KS Health Department,122.7278938079324,2024-01-02,117.87
8,2025-01-02,St. Anthony Shawnee Hospital,146.23847392762494,2024-01-02,148.26
7,2025-01-03,Canadian Valley,114.27424762795907,2024-01-03,106.95
31,2025-01-03,Custer County,111.19937118996971,2024-01-03,112.33
23,2025-01-03,Flint Hills- Riley County Health Department,133.4564362835212,2024-01-03,139.12
3,2025-01-03,Integris Baptist,133.95634874326282,2024-01-03,136.12
3,2025-01-03,Integris Baptist,144.4515477895584,2024-01-03,150.0
16,2025-01-03,KUMC - University of Kansas Health System,136.81745305436974,2024-01-03,129.95
37,2025-01-03,McAlester Regional Health,136.85312569697032,2024-01-03,127.72
1,2025-01-03,Oklahoma Mothers’ Milk Bank,170.9665661176,2024-01-03,150.0
18,2025-01-03,Shawnee Mission MC,124.02115259097185,2024-01-03,112.03
7,2025-01-04,Canadian Valley,151.8513322826823,2024-01-04,150.0
4,2025-01-04,Cleveland County Moore,151.63841307520113,2024-01-04,150.0
4,2025-01-04,Cleveland County Moore,145.43016342019152,2024-01-04,150.0
6,2025-01-04,Edmond Hope Center,155.70457481218804,2024-01-04,150.0
2,2025-01-04,Integris Southwest,129.1389901552866,2024-01-04,112.97
2,2025-01-04,Integris Southwest,132.957923428914,2024-01-04,136.45
17,2025-01-04,KUMC - Kansas Health Systems – St. Francis Campus,105.10489850740713,2024-01-04,92.86
37,2025-01-04,McAlester Regional Health,110.41200492298536,2024-01-04,99.32
10,2025-01-04,OBI,158.1020406353343,2024-01-04,150.0
9,2025-01-04,OU Children’s Hospital,143.53165563345655,2024-01-04,150.0
9,2025-01-04,OU Children’s Hospital,151.3016479368312,2024-01-04,139.77
1,2025-01-04,Oklahoma Mothers’ Milk Bank,163.0269907953647,2024-01-04,150.0
21,2025-01-04,Salina Regional,118.78402472455238,2024-01-04,112.13
5,2025-01-04,Variety Care- Lafayette,150.2633994480005,2024-01-04,150.0
19,2025-01-04,Woven Leaf,157.3553073033381,2024-01-04,150.0
36,2025-01-05,Alliance Health Woodward,64.71650178634933,2024-01-05,62.97
4,2025-01-05,Cleveland County Moore,170.1562270506935,2024-01-05,150.0
6,2025-01-05,Edmond Hope Center,150.64047095321686,2024-01-05,150.0
3,2025-01-05,Integris Baptist,150.9280352906214,2024-01-05,150.0
2,2025-01-05,Integris Southwest,145.49103188092158,2024-01-05,147.08
2,2025-01-05,Integris Southwest,137.8653720535886,2024-01-05,140.94
13,2025-01-05,Jane Phillips Medical Center,122.98798950597748,2024-01-05,128.24
13,2025-01-05,Jane Phillips Medical Center,119.59508391410553,2024-01-05,117.82
17,2025-01-05,KUMC - Kansas Health Systems – St. Francis Campus,116.3706688364977,2024-01-05,101.73
21,2025-01-05,Salina Regional,133.83325283385227,2024-01-05,135.6
25,2025-01-05,South Central Medical Center,126.10544300855366,2024-01-05,111.7
8,2025-01-05,St. Anthony Shawnee Hospital,170.68496824692565,2024-01-05,150.0
12,2025-01-05,St. John Owasso,135.26489638736345,2024-01-05,139.78
5,2025-01-05,Variety Care- Lafayette,165.75398470083343,2024-01-05,150.0
5,2025-01-05,Variety Care- Lafayette,160.43699936433254,2024-01-05,150.0
24,2025-01-05,Washington Regional Medical Center,104.96952497220269,2024-01-05,94.08
15,2025-01-05,YWCA East,128.7208243526386,2024-01-05,126.03
15,2025-01-05,YWCA East,113.1260860814244,2024-01-05,106.87
31,2025-01-06,Custer County,141.52408894753472,2024-01-06,128.14
23,2025-01-06,Flint Hills- Riley County Health Department,163.7057203154285,2024-01-06,150.0
28,2025-01-06,Garfield County Health Department,120.10512508767138,2024-01-06,108.16
2,2025-01-06,Integris Southwest,163.82231432442552,2024-01-06,149.5
9,2025-01-06,OU Children’s Hospital,141.41020567478745,2024-01-06,148.68
1,2025-01-06,Oklahoma Mothers’ Milk Bank,43.42095579311794,2024-01-06,45.0
18,2025-01-06,Shawnee Mission MC,129.57717140529076,2024-01-06,130.92
11,2025-01-06,Tulsa Hillcrest Hospital,113.14583084048678,2024-01-06,101.65
19,2025-01-06,Woven Leaf,123.1594887549399,2024-01-06,107.34
30,2025-01-07,Beckham County,90.12398860585853,2024-01-07,80.28
27,2025-01-07,Comanche County Memorial Hospital,122.3734359639473,2024-01-07,110.82
6,2025-01-07,Edmond Hope Center,144.7213395520227,2024-01-07,150.0
6,2025-01-07,Edmond Hope Center,152.4269407455795,2024-01-07,150.0
28,2025-01-07,Garfield County Health Department,121.9851957129484,2024-01-07,126.71
3,2025-01-07,Integris Baptist,153.25397185632818,2024-01-07,150.0
1,2025-01-07,Oklahoma Mothers’ Milk Bank,145.9760717857539,2024-01-07,150.0
1,2025-01-07,Oklahoma Mothers’ Milk Bank,161.1989438048267,2024-01-07,150.0
4,2025-01-08,Cleveland County Moore,49.597065437552075,2024-01-08,45.0
6,2025-01-08,Edmond Hope Center,152.25549966080243,2024-01-08,150.0
10,2025-01-08,OBI,139.2801346223273,2024-01-08,143.01
21,2025-01-08,Salina Regional,84.01230654048,2024-01-08,83.0
8,2025-01-08,St. Anthony Shawnee Hospital,136.03670298342075,2024-01-08,124.13
11,2025-01-08,Tulsa Hillcrest Hospital,168.33844691881427,2024-01-08,149.31
5,2025-01-08,Variety Care- Lafayette,167.01428161201162,2024-01-08,155.0
5,2025-01-08,Variety Care- Lafayette,156.66644775485847,2024-01-08,150.0
24,2025-01-08,Washington Regional Medical Center,123.78620038889862,2024-01-08,113.29
19,2025-01-08,Woven Leaf,132.32516010024642,2024-01-08,124.57
7,2025-01-09,Canadian Valley,148.24335443764198,2024-01-09,143.16
2,2025-01-09,Integris Southwest,152.0656147993767,2024-01-09,144.2
22,2025-01-09,Kansas Birth Justice Society,141.20918799984136,2024-01-09,145.34
9,2025-01-09,OU Children’s Hospital,143.26257380232283,2024-01-09,150.0
