From_ID,To_ID,Distance_Miles,Time_Mins
1,2,6.7437,12.41666666666667
1,3,8.8166,14.05
1,4,11.445,19.38333333333333
1,5,7.4378,13.2
1,6,15.1602,20.93333333333333
1,7,18.4752,22.43333333333333
1,8,37.0138,38.43333333333333
1,9,0.553,3.266666666666667
1,10,105.0919,91.03333333333333
1,11,105.5648,91.81666666666666
1,12,121.7689,106.5166666666667
1,13,147.2973,128.2166666666667
1,14,106.0457,91.13333333333334
1,15,108.8791,95.11666666666666
1,16,344.6703,282.2166666666666
1,17,291.1062,241.75
1,18,336.2358,273.8333333333333
1,19,227.5374,208.7333333333333
1,20,244.5531,224.05
1,21,245.8051,207.45
1,22,158.6044,134.95
1,23,288.9127,249.6166666666667
1,24,213.3031,191.0666666666667
1,25,54.5744,61.48333333333333
1,27,91.144,81.45
1,28,85.3348,87.45
1,29,46.8893,46.7
1,30,114.7045,99.85
1,31,89.1326,80.75
1,32,86.1133,85.16666666666667
1,33,116.6631,99.88333333333334
1,34,100.879,89.93333333333334
1,35,142.7843,127.6333333333333
1,36,143.3708,134.7333333333333
1,37,130.9633,114.0
2,1,7.0209,11.15
2,3,10.3906,13.68333333333333
2,4,9.031,13.46666666666667
2,5,0.6717,1.816666666666667
2,6,20.4624,25.55
2,7,16.7341,19.61666666666667
2,8,38.4921,38.08333333333334
2,9,6.8152,11.63333333333333
2,10,110.6047,94.55
2,11,111.0776,95.33333333333333
2,12,127.2817,110.0333333333333
2,13,152.8101,131.7333333333333
2,14,111.5585,94.65
2,15,114.392,98.63333333333334
2,16,350.1831,285.7333333333333
2,17,296.619,245.2666666666667
2,18,341.7486,277.35
2,19,233.0502,212.25
2,20,250.0659,227.5666666666667
2,21,251.3179,210.9666666666667
2,22,164.1172,138.4666666666667
2,23,294.4256,253.1333333333333
2,24,218.8159,194.5833333333333
2,25,48.26,54.11666666666667
2,27,84.8296,74.08333333333333
2,28,86.2271,87.26666666666667
2,29,40.5749,39.33333333333334
2,30,112.9634,97.03333333333333
2,31,87.3915,77.93333333333334
2,32,87.5916,84.81666666666666
2,33,118.1413,99.53333333333333
2,34,97.0526,87.58333333333333
2,35,136.4699,120.2666666666667
2,36,141.6298,131.9166666666667
2,37,132.4415,113.65
3,1,8.2549,12.85
3,2,10.6422,13.85
3,4,19.8174,22.78333333333333
3,5,11.3139,15.66666666666667
3,6,15.9208,20.58333333333333
3,7,17.1126,19.41666666666667
3,8,44.2882,44.38333333333333
3,9,8.3773,13.38333333333333
3,10,106.5695,90.53333333333333
3,11,107.0424,91.31666666666666
3,12,123.2465,106.0166666666667
3,13,148.7749,127.7166666666667
3,14,107.5233,90.63333333333334
3,15,110.3568,94.61666666666666
3,16,346.1479,281.7166666666666
3,17,292.5838,241.25
3,18,337.7134,273.3333333333333
3,19,229.0151,208.2333333333333
3,20,246.0307,223.55
3,21,247.2827,206.95
3,22,160.082,134.45
3,23,290.3904,249.1166666666667
3,24,214.7807,190.5666666666667
3,25,53.4727,58.51666666666667
3,27,90.0423,78.48333333333333
3,28,76.6225,77.53333333333333
3,29,45.7876,43.73333333333333
3,30,113.3418,96.83333333333333
3,31,87.7699,77.73333333333333
3,32,93.3877,91.11666666666666
3,33,123.9375,105.8333333333333
3,34,109.7,100.0333333333333
3,35,141.6826,124.6666666666667
3,36,142.0082,131.7166666666667
3,37,138.2377,119.95
4,1,11.8328,14.06666666666667
4,2,9.0882,12.33333333333333
4,3,19.6453,21.33333333333333
4,5,8.468,11.83333333333333
4,6,25.8826,28.7
4,7,26.3449,27.13333333333333
4,8,37.1779,36.83333333333334
4,9,11.6271,14.55
4,10,115.5421,97.8
4,11,116.015,98.58333333333333
4,12,132.2191,113.2833333333333
4,13,157.7475,134.9833333333333
4,14,116.4959,97.9
4,15,119.3294,101.8833333333333
4,16,355.1205,288.9833333333333
4,17,301.5564,248.5166666666667
4,18,346.686,280.6
4,19,237.9877,215.5
4,20,255.0033,230.8166666666667
4,21,256.2553,214.2166666666667
4,22,169.0546,141.7166666666667
4,23,299.363,256.3833333333333
4,24,239.9288,197.5833333333333
4,25,45.2215,53.35
4,27,81.7911,73.31666666666666
4,28,95.4818,94.91666666666667
4,29,37.5364,38.56666666666667
4,30,122.5742,104.55
4,31,97.0023,85.45
4,32,86.2774,83.56666666666666
4,33,116.8271,98.28333333333333
4,34,90.3213,78.28333333333333
4,35,133.4314,119.5
4,36,151.2405,139.4333333333333
4,37,131.1273,112.4
5,1,6.9457,11.33333333333333
5,2,0.6717,2.083333333333333
5,3,11.0554,15.83333333333333
5,4,8.404,12.26666666666667
5,6,20.9955,25.96666666666667
5,7,17.399,21.76666666666667
5,8,37.8651,36.88333333333333
5,9,6.74,11.81666666666667
5,10,110.6109,95.63333333333334
5,11,111.0838,96.41666666666667
5,12,127.2879,111.1166666666667
5,13,152.8163,132.8166666666667
5,14,111.5647,95.73333333333333
5,15,114.3982,99.71666666666667
5,16,350.1893,286.8166666666667
5,17,296.6252,246.35
5,18,341.7548,278.4333333333333
5,19,233.0565,213.3333333333333
5,20,250.0721,228.65
5,21,251.3241,212.05
5,22,164.1234,139.55
5,23,294.4318,254.2166666666667
5,24,218.8221,195.6666666666667
5,25,48.6422,54.26666666666667
5,27,85.2117,74.23333333333333
5,28,86.8919,89.41666666666667
5,29,40.9571,39.48333333333333
5,30,113.6283,99.18333333333334
5,31,88.0564,80.08333333333333
5,32,86.9646,83.61666666666666
5,33,117.5143,98.33333333333333
5,34,96.681,84.53333333333333
5,35,136.852,120.4166666666667
5,36,142.2946,134.0666666666667
5,37,131.8146,112.45
6,1,15.003,20.46666666666667
6,2,19.9355,24.66666666666667
6,3,14.4736,20.21666666666667
6,4,27.0067,33.25
6,5,20.6295,25.45
6,7,29.9874,31.71666666666667
6,8,51.4458,50.76666666666667
6,9,15.2571,21.11666666666667
6,10,102.9979,87.68333333333334
6,11,103.4707,88.46666666666667
